CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed
12040846W7,2014,846 E LOUDON AVE,01-03-2014,Housing,Invalid Complaint,01-06-2014,true
03270210#B,2014,210 CARLISLE AVE #B,01-03-2014,Housing,Invalid Complaint,01-07-2014,true
43614057#2104,2014,4057 MOONCOIN WAY #2104,01-06-2014,Housing,Invalid Complaint,01-13-2014,true
16830315-2,2014,315 E SECOND ST,01-08-2014,Housing,Invalid Complaint,01-08-2014,true
11210820,2014,820 LANE ALLEN RD,01-08-2014,Housing,Invalid Complaint,01-13-2014,true
04522798-4,2014,2798 COLUMBUS LN,01-10-2014,Housing,Invalid Complaint,01-13-2014,true
16900348-3,2014,348 E SEVENTH ST,01-13-2014,Housing,Invalid Complaint,01-14-2014,true
09290426#3-2,2014,426 E HIGH ST #3,01-14-2014,Housing,Invalid Complaint,01-16-2014,true
12640515-5,2014,515 MARYLAND AVE,01-14-2014,Housing,Invalid Complaint,01-27-2014,true
13973800#5-1005,2014,3800 NICHOLASVILLE RD #5-1005,01-15-2014,Housing,Invalid Complaint,01-24-2014,true
15390823#10-2,2014,823 PRESS AVE #10,01-17-2014,Housing,Invalid Complaint,01-24-2014,true
17263420-3,2014,3420 SIMCOE CT,01-22-2014,Housing,Invalid Complaint,01-27-2014,true
12260140-2,2014,140 E MAIN ST,01-22-2014,Housing,Invalid Complaint,01-22-2014,true
16900108,2014,108 E SEVENTH ST,01-22-2014,Housing,Invalid Complaint,01-22-2014,true
04361894,2014,1894 COLCHESTER DR,01-22-2014,Housing,Invalid Complaint,01-27-2014,true
00231565-2,2014,1565 ALEXANDRIA DR,01-24-2014,Housing,Invalid Complaint,01-29-2014,true
04821209-2,2014,1209 CRESCENT AVE,01-24-2014,Housing,Invalid Complaint,01-30-2014,true
01040408#18-10,2014,408 BAINBRIDGE CT #18,01-28-2014,Housing,Invalid Complaint,01-29-2014,true
14440330,2014,330 OWSLEY AVE,01-28-2014,Housing,Invalid Complaint,04-18-2014,true
