CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcel_id,lat,long
12040846W7,2014,846 E LOUDON AVE,01-03-2014,Housing,Invalid Complaint,01-06-2014,true,21152400,-84.4669597124664,38.0438120938578
03270210#B,2014,210 CARLISLE AVE #B,01-03-2014,Housing,Invalid Complaint,01-07-2014,true,13136200,-84.4740832678184,38.0588600561014
43614057#2104,2014,4057 MOONCOIN WAY #2104,01-06-2014,Housing,Invalid Complaint,01-13-2014,true,38214770,-84.5200466846897,37.970414775164
16830315-2,2014,315 E SECOND ST,01-08-2014,Housing,Invalid Complaint,01-08-2014,true,16397300,-84.4896382915612,38.0453952108338
11210820,2014,820 LANE ALLEN RD,01-08-2014,Housing,Invalid Complaint,01-13-2014,true,15628900,-84.5408301279929,38.0286739145276
04522798-4,2014,2798 COLUMBUS LN,01-10-2014,Housing,Invalid Complaint,01-13-2014,true,23361350,-84.371338853912,38.0350794892127
16900348-3,2014,348 E SEVENTH ST,01-13-2014,Housing,Invalid Complaint,01-14-2014,true,12769300,-84.4798362047175,38.0512272526736
09290426#3-2,2014,426 E HIGH ST #3,01-14-2014,Housing,Invalid Complaint,01-16-2014,true,17275650,-84.4940872532732,38.0389385896204
12640515-5,2014,515 MARYLAND AVE,01-14-2014,Housing,Invalid Complaint,01-27-2014,true,13508500,-84.4998492428094,38.0550881133999
13973800#5-1005,2014,3800 NICHOLASVILLE RD #5-1005,01-15-2014,Housing,Invalid Complaint,01-24-2014,true,25144200,-84.5253439314896,37.9827323285704
15390823#10-2,2014,823 PRESS AVE #10,01-17-2014,Housing,Invalid Complaint,01-24-2014,true,11708850,-84.5125000447503,38.0331834990811
17263420-3,2014,3420 SIMCOE CT,01-22-2014,Housing,Invalid Complaint,01-27-2014,true,14716517,-84.4862001850298,37.9921019331633
12260140-2,2014,140 E MAIN ST,01-22-2014,Housing,Invalid Complaint,01-22-2014,true,04038800,-84.4965988371915,38.0455187748889
16900108,2014,108 E SEVENTH ST,01-22-2014,Housing,Invalid Complaint,01-22-2014,true,14868500,-84.4827469707393,38.0538435456903
04361894,2014,1894 COLCHESTER DR,01-22-2014,Housing,Invalid Complaint,01-27-2014,true,16507400,-84.4676999526472,38.0871773948743
00231565-2,2014,1565 ALEXANDRIA DR,01-24-2014,Housing,Invalid Complaint,01-29-2014,true,20019730,-84.4669597675253,37.9722848709503
04821209-2,2014,1209 CRESCENT AVE,01-24-2014,Housing,Invalid Complaint,01-30-2014,true,23139750,-84.5155433218508,38.0294815620421
01040408#18-10,2014,408 BAINBRIDGE CT #18,01-28-2014,Housing,Invalid Complaint,01-29-2014,true,10048490,-84.4280775848718,38.0056579782143
14440330,2014,330 OWSLEY AVE,01-28-2014,Housing,Invalid Complaint,04-18-2014,true,46946300,-84.4728835900845,38.0366107350969
17523395#72-2,2014,3395 SPANGLER DR #72,01-29-2014,Housing,Invalid Complaint,02-03-2014,true,21725400,-84.5063044839288,37.979941782214
20671218#43-2,2014,1218 WINBURN #43 (AKA 1750 MCCULLOUGH DR),01-29-2014,Housing,Invalid Complaint,02-14-2014,true,16786851,-84.4725004006727,38.0870257058259
15850421#51,2014,421 REDDING RD #51,01-30-2014,Housing,Invalid Complaint,02-04-2014,true,20002930,-84.4967474663182,37.9854425129131
13080527#F,2014,527 MICHIGAN ST #F,01-30-2014,Housing,Invalid Complaint,02-14-2014,true,16411225,-84.5030723825668,38.0635290564482
16160332,2014,332 ROBERTSON ST,01-30-2014,Housing,Invalid Complaint,02-04-2014,true,16657450,-84.5152599972639,38.0527384848965
03073745#5-2,2014,3745 CAMELOT DR #5,01-31-2014,Housing,Invalid Complaint,02-05-2014,true,24986550,-84.5119603938276,37.9762374318837
02900907-3,2014,907 BYARS AVE,01-31-2014,Housing,Invalid Complaint,02-14-2014,true,13820800,-84.469473290825,38.0436021233172
06470320#503,2014,320 ELM TREE LN #503,02-03-2014,Housing,Invalid Complaint,02-10-2014,true,10044540,-84.4877999328532,38.0469065992075
07702070#103,2014,2070 GARDEN SPRINGS DR #103,02-03-2014,Housing,Invalid Complaint,02-10-2014,true,12655800,-84.5480805119779,38.024875824753
36170315,2014,315 MCCONNELLS TRCE,02-03-2014,Housing,Invalid Complaint,02-10-2014,true,38238750,-84.5640255631761,38.0840778961534
07840917#131-2,2014,917 GEORGETOWN ST #131,02-04-2014,Housing,Invalid Complaint,02-18-2014,true,26185825,-84.5060482432608,38.0724364592688
00231249#B,2014,1249 ALEXANDRIA DR #B,02-05-2014,Housing,Invalid Complaint,02-17-2014,true,26571800,-84.5618815375384,38.0419975931259
20671053#79,2014,1053 WINBURN DR #79,02-06-2014,Housing,Invalid Complaint,02-21-2014,true,54399200,-84.5275349790053,38.0209624639265
12640568-6,2014,568 MARYLAND AVE,02-07-2014,Housing,Invalid Complaint,02-12-2014,true,16745000,-84.5020558260983,38.0563343453248
00431474-2,2014,1474 ANNISTON DR,02-10-2014,Housing,Invalid Complaint,02-10-2014,true,15069813,-84.4388972978392,38.0562893047547
16900312-7,2014,312 E SEVENTH ST,02-13-2014,Housing,Invalid Complaint,02-14-2014,true,12483600,-84.4806112264632,38.0518359754458
09510500#4-2,2014,500 HOLLOW CREEK RD #4,02-14-2014,Housing,Invalid Complaint,02-21-2014,true,38251730,-84.479163313536,38.0741014010048
00080459-5,2014,459 ADDIE ST,02-18-2014,Housing,Invalid Complaint,02-19-2014,true,13085700,-84.4940025881307,38.0568688147343
10863701-2,2014,3701 KITTIWAKE DR,02-19-2014,Housing,Invalid Complaint,02-21-2014,true,10003684,-84.4669250750507,37.9759681329345
18253905,2014,3905 SUNDART DR,02-19-2014,Housing,Invalid Complaint,02-21-2014,true,11887854,-84.4642096389589,37.9814475228346
03100836-2,2014,836 CAMPBELL LN,02-20-2014,Housing,Invalid Complaint,02-24-2014,true,22555400,-84.4247618023147,38.0129376516417
17523395#72-3,2014,3395 SPANGLER DR #72,02-24-2014,Housing,Invalid Complaint,03-05-2014,true,21725400,-84.5063044839288,37.979941782214
18323500-2,2014,3500 SUTHERLAND DR,02-25-2014,Housing,Invalid Complaint,03-04-2014,true,14410250,-84.4829474348044,37.9861974055066
21273199#B,2014,3199 YELLOWSTONE PKWY #B,02-26-2014,Housing,Invalid Complaint,03-04-2014,true,13620792,-84.4637289658262,37.9889741968896
03042021#43,2014,2021 CAMBRIDGE DR #43,02-26-2014,Housing,Invalid Complaint,03-04-2014,true,38148120,-84.5122672435812,38.0850017395046
18593565-4,2014,3565 TATES CREEK RD,02-28-2014,Housing,Invalid Complaint,03-04-2014,true,16293500,-84.4951051899926,37.9851652871123
03041949-4,2014,1949 CAMBRIDGE DR,02-28-2014,Housing,Invalid Complaint,03-04-2014,true,10275300,-84.5456393100358,38.0513297982577
03641284-3,2014,1284 CENTRE PKWY,03-03-2014,Housing,Invalid Complaint,03-04-2014,true,13419600,-84.4775704394968,37.9795167974164
